"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"4","","0","FAQ02 — Pesquisar dúvidas frequentes","0","0","FAQ02 — Pesquisa com resultados","0"
"4","","0","FAQ","0","0","FAQ02 — Pesquisa com resultados","0"
"0","","0","Login — Responsividade","3","0","Integridade de layout","0"
"0","","0","Tela de Login","3","0","Integridade de layout","0"
"1","","0","Login — Responsividade","0","0","","0"
"0","","0","Login — Responsividade","3","0","Acessibilidade — Touch Targets","0"
"0","","0","Tela de Login","3","0","Acessibilidade — Touch Targets","0"
"0","","0","FAQ — Captura de UI Hierarchy","11","0","","0"
"0","","0","Login — Responsividade","5","0","Visibilidade de elementos","0"
"0","","0","Tela de Login","5","0","Visibilidade de elementos","0"
"1","","0","Extrato — Responsividade","0","0","","0"
"0","","2","FAQ01 — Tela de Dúvidas Frequentes","3","0","FAQ01 — Navegação até Dúvidas Frequentes","0"
"0","","2","FAQ","3","0","FAQ01 — Navegação até Dúvidas Frequentes","0"
"0","","0","Login — Responsividade","1","0","Comportamento com teclado virtual","0"
"0","","0","Tela de Login","1","0","Comportamento com teclado virtual","0"
"0","","0","Login — Responsividade","1","0","Regressão Visual","0"
"0","","0","Tela de Login","1","0","Regressão Visual","0"
